date, value
26/11/1990,1443.2
27/11/1990,1415.3
28/11/1990,1420.6
29/11/1990,1418.9
30/11/1990,1441.2
03/12/1990,1462.6
04/12/1990,1446.3
05/12/1990,1471
06/12/1990,1504.7
07/12/1990,1512.8
10/12/1990,1504.8
11/12/1990,1492.7
12/12/1990,1517.2
13/12/1990,1517.8
14/12/1990,1522.4
17/12/1990,1475.9
18/12/1990,1477.4
19/12/1990,1457.2
20/12/1990,1409.3
21/12/1990,1414.9
27/12/1990,1410.9
28/12/1990,1398.2
02/01/1991,1366.1
03/01/1991,1366.7
04/01/1991,1396.1
07/01/1991,1358.2
08/01/1991,1354
09/01/1991,1375.2
10/01/1991,1383.4
11/01/1991,1382.3
14/01/1991,1327.8
15/01/1991,1325.6
16/01/1991,1322.7
17/01/1991,1422.7
18/01/1991,1405.1
21/01/1991,1390.2
22/01/1991,1375.1
23/01/1991,1358.8
24/01/1991,1375.2
25/01/1991,1382.1
28/01/1991,1382.7
29/01/1991,1380.3
30/01/1991,1400.7
31/01/1991,1420.1
01/02/1991,1426.5
04/02/1991,1435
05/02/1991,1438.9
06/02/1991,1428.7
07/02/1991,1436.3
08/02/1991,1467.8
11/02/1991,1488.7
12/02/1991,1468.9
13/02/1991,1489.4
14/02/1991,1486.5
15/02/1991,1531.2
18/02/1991,1572.6
19/02/1991,1587.1
20/02/1991,1567.3
21/02/1991,1566.3
22/02/1991,1582.5
25/02/1991,1601.2
26/02/1991,1558.2
27/02/1991,1565.5
28/02/1991,1542.1
01/03/1991,1516.7
04/03/1991,1530.9
05/03/1991,1540.3
06/03/1991,1594.3
07/03/1991,1580.5
08/03/1991,1580.5
11/03/1991,1565.8
12/03/1991,1571.6
13/03/1991,1542.2
14/03/1991,1576.6
15/03/1991,1570.6
18/03/1991,1552.9
19/03/1991,1546.5
20/03/1991,1517.9
21/03/1991,1519.6
22/03/1991,1520.3
25/03/1991,1515.5
26/03/1991,1498.4
27/03/1991,1508.8
28/03/1991,1522.8
02/04/1991,1538.6
03/04/1991,1577.5
04/04/1991,1572
05/04/1991,1586.9
08/04/1991,1580
09/04/1991,1582.1
10/04/1991,1561.9
11/04/1991,1565.4
12/04/1991,1583.1
15/04/1991,1601.4
16/04/1991,1603.4
17/04/1991,1623.8
18/04/1991,1613.8
19/04/1991,1599.4
22/04/1991,1571.9
23/04/1991,1597.1
24/04/1991,1603.7
25/04/1991,1620.5
26/04/1991,1623.8
29/04/1991,1620.3
30/04/1991,1605.8
02/05/1991,1630
03/05/1991,1631.8
06/05/1991,1624
07/05/1991,1627.5
08/05/1991,1607.3
10/05/1991,1620.6
13/05/1991,1610.9
14/05/1991,1598.5
15/05/1991,1590.4
16/05/1991,1598.1
17/05/1991,1598.9
21/05/1991,1617.4
22/05/1991,1647.7
23/05/1991,1652.7
24/05/1991,1671.9
27/05/1991,1681.5
28/05/1991,1682.1
29/05/1991,1681.5
31/05/1991,1704.1
03/06/1991,1694.1
04/06/1991,1685.4
05/06/1991,1712.8
06/06/1991,1704.2
07/06/1991,1709.6
10/06/1991,1704.9
11/06/1991,1715.2
12/06/1991,1700.8
13/06/1991,1692.6
14/06/1991,1699.8
17/06/1991,1701.1
18/06/1991,1695.4
19/06/1991,1683
20/06/1991,1687
21/06/1991,1711.9
24/06/1991,1691.6
25/06/1991,1691.5
26/06/1991,1672.1
27/06/1991,1666.1
28/06/1991,1622.2
01/07/1991,1625.2
02/07/1991,1610.5
03/07/1991,1614.4
04/07/1991,1616.1
05/07/1991,1618.9
08/07/1991,1605
09/07/1991,1627.6
10/07/1991,1634.7
11/07/1991,1637.9
12/07/1991,1644.8
15/07/1991,1646.6
16/07/1991,1643.9
17/07/1991,1625.5
18/07/1991,1618.3
19/07/1991,1624
22/07/1991,1623
23/07/1991,1632.9
24/07/1991,1621.7
25/07/1991,1615.4
26/07/1991,1605.6
29/07/1991,1605.6
30/07/1991,1614.9
31/07/1991,1622.3
01/08/1991,1622.6
02/08/1991,1615.4
05/08/1991,1622
06/08/1991,1611.9
07/08/1991,1631.4
08/08/1991,1630.2
09/08/1991,1632.2
12/08/1991,1626.1
13/08/1991,1644.7
14/08/1991,1650.2
15/08/1991,1654.3
16/08/1991,1653.3
19/08/1991,1497.9
20/08/1991,1526.9
21/08/1991,1570.8
22/08/1991,1630.8
23/08/1991,1627.2
26/08/1991,1654.2
27/08/1991,1647.1
28/08/1991,1647.5
29/08/1991,1655.5
30/08/1991,1650.5
02/09/1991,1650.5
03/09/1991,1655.6
04/09/1991,1647.9
05/09/1991,1647.2
06/09/1991,1646.2
09/09/1991,1633.1
10/09/1991,1629.1
11/09/1991,1628.2
12/09/1991,1631.3
13/09/1991,1637.6
16/09/1991,1629.8
17/09/1991,1634.6
18/09/1991,1628.1
19/09/1991,1620.7
20/09/1991,1616.1
23/09/1991,1614.2
24/09/1991,1626.6
25/09/1991,1625.4
26/09/1991,1620
27/09/1991,1608.1
30/09/1991,1607
01/10/1991,1609.6
02/10/1991,1607.3
04/10/1991,1601.7
07/10/1991,1588.7
08/10/1991,1578.7
09/10/1991,1567.2
10/10/1991,1568
11/10/1991,1568.4
14/10/1991,1571
15/10/1991,1585
16/10/1991,1570.1
17/10/1991,1564.5
18/10/1991,1563.3
21/10/1991,1572.7
22/10/1991,1580.7
23/10/1991,1587.9
24/10/1991,1579
25/10/1991,1572
28/10/1991,1576.8
29/10/1991,1590.8
30/10/1991,1582.8
31/10/1991,1582.1
01/11/1991,1573.6
04/11/1991,1573.6
05/11/1991,1576.1
06/11/1991,1574.2
07/11/1991,1578.4
08/11/1991,1606.2
11/11/1991,1609
12/11/1991,1621.2
13/11/1991,1623.2
14/11/1991,1621
15/11/1991,1629.4
18/11/1991,1611.9
19/11/1991,1599.1
21/11/1991,1598.1
22/11/1991,1600.3
25/11/1991,1589.2
26/11/1991,1602.9
27/11/1991,1586.2
28/11/1991,1588.2
29/11/1991,1566.6
02/12/1991,1545.4
03/12/1991,1546.8
04/12/1991,1561
05/12/1991,1553.4
