xTime,Var2
01/04/1999,2146.13
02/04/1999,NaN
05/04/1999,2219.64
06/04/1999,2218.83
07/04/1999,2192.29
08/04/1999,2224.75
09/04/1999,2232.47
12/04/1999,2219.21
13/04/1999,2175.18
14/04/1999,2103.63
15/04/1999,2135.81
16/04/1999,2086.46
19/04/1999,1967.58
20/04/1999,2030.28
21/04/1999,2105.82
22/04/1999,2183.44
23/04/1999,2210.44
26/04/1999,2260.66
27/04/1999,2207.03
28/04/1999,2150.44
29/04/1999,2119.29
30/04/1999,2136.39
03/05/1999,2137.95
04/05/1999,2097.55
05/05/1999,2155.77
06/05/1999,2078.63
07/05/1999,2117.73
10/05/1999,2134.75
11/05/1999,2175.85
12/05/1999,2217.68
13/05/1999,2179.08
14/05/1999,2125.15
17/05/1999,2175.74
18/05/1999,2159.26
19/05/1999,2186.2
20/05/1999,2139.95
21/05/1999,2114.4
24/05/1999,2060.59
25/05/1999,1999.04
26/05/1999,2053.04
27/05/1999,2050.09
28/05/1999,2089.7
31/05/1999,NaN
01/06/1999,2025.79
02/06/1999,2074.54
03/06/1999,2030.4
04/06/1999,2109.41
07/06/1999,2152.69
08/06/1999,2086.75
09/06/1999,2135.48
10/06/1999,2097.79
11/06/1999,2062.29
14/06/1999,2028.92
15/06/1999,2058.17
16/06/1999,2167.49
17/06/1999,2190.83
18/06/1999,2205.46
21/06/1999,2268.66
22/06/1999,2209.89
23/06/1999,2239.33
24/06/1999,2184.87
25/06/1999,2185.76
28/06/1999,2243.94
29/06/1999,2280.06
30/06/1999,2296.77
01/07/1999,2322.32
02/07/1999,2347.88
05/07/1999,NaN
06/07/1999,2330.73
07/07/1999,2340.67
08/07/1999,2374.58
09/07/1999,2393.02
12/07/1999,2384.24
13/07/1999,2373.66
14/07/1999,2417.05
15/07/1999,2429.27
16/07/1999,2459.48
19/07/1999,2424.62
20/07/1999,2329.32
21/07/1999,2363.63
22/07/1999,2281.92
23/07/1999,2302.02
26/07/1999,2233.51
27/07/1999,2308.78
28/07/1999,2333.78
29/07/1999,2263.06
30/07/1999,2270.93
02/08/1999,2264.81
03/08/1999,2239.18
