xTime,Var2
01/04/1999,280.5
02/04/1999,NaN
05/04/1999,NaN
06/04/1999,278.35
07/04/1999,280.25
08/04/1999,280.4
09/04/1999,281.6
12/04/1999,282.7
13/04/1999,282.5
14/04/1999,283.85
15/04/1999,281.25
16/04/1999,283.9
19/04/1999,284.65
20/04/1999,284.55
21/04/1999,283.9
22/04/1999,283.35
23/04/1999,283.7
26/04/1999,283.1
27/04/1999,281.5
28/04/1999,282.8
29/04/1999,283.7
30/04/1999,285.85
03/05/1999,NaN
04/05/1999,285.6
05/05/1999,285.5
06/05/1999,288.1
07/05/1999,283.4
10/05/1999,280.65
11/05/1999,278.3
12/05/1999,278
13/05/1999,278.4
14/05/1999,277.2
17/05/1999,276.1
18/05/1999,274.7
19/05/1999,272.85
20/05/1999,274.4
21/05/1999,274.85
24/05/1999,272.2
25/05/1999,272.65
26/05/1999,269.5
27/05/1999,268.25
28/05/1999,271.05
31/05/1999,NaN
01/06/1999,265.5
02/06/1999,267.05
03/06/1999,263.85
04/06/1999,266.5
07/06/1999,266.35
08/06/1999,263.85
09/06/1999,262
10/06/1999,258.35
11/06/1999,259.2
14/06/1999,259.3
15/06/1999,259.65
16/06/1999,258.9
17/06/1999,259
18/06/1999,260.5
21/06/1999,259.15
22/06/1999,259.15
23/06/1999,258.7
24/06/1999,260.7
25/06/1999,261.15
28/06/1999,260
29/06/1999,260.8
30/06/1999,261.2
01/07/1999,263
02/07/1999,262.9
05/07/1999,262.85
06/07/1999,261.3
07/07/1999,256.2
08/07/1999,256.4
09/07/1999,257
12/07/1999,256.05
13/07/1999,254.25
14/07/1999,255.6
15/07/1999,253.75
16/07/1999,254.8
19/07/1999,253.15
20/07/1999,253
21/07/1999,252.9
22/07/1999,255.35
23/07/1999,254.9
26/07/1999,253.5
27/07/1999,254.2
28/07/1999,254
29/07/1999,254.5
30/07/1999,256.75
02/08/1999,255.35
03/08/1999,255.7
04/08/1999,257.5
05/08/1999,256.25
06/08/1999,255.3
09/08/1999,256.45
10/08/1999,257
11/08/1999,256.9
12/08/1999,260.2
13/08/1999,260.7
16/08/1999,259.25
17/08/1999,259
18/08/1999,261.5
19/08/1999,258.6
20/08/1999,258.6
23/08/1999,257.5
24/08/1999,254.2
25/08/1999,253.2
26/08/1999,253.15
27/08/1999,254.7
30/08/1999,NaN
31/08/1999,254.6
01/09/1999,255.45
02/09/1999,254.05
03/09/1999,255.4
06/09/1999,254.9
07/09/1999,254.9
08/09/1999,256
09/09/1999,256.8
10/09/1999,256.2
13/09/1999,256.6
14/09/1999,256.7
15/09/1999,257.4
16/09/1999,255.7
17/09/1999,255.2
20/09/1999,255.3
21/09/1999,255.2
22/09/1999,262.6
23/09/1999,263.4
24/09/1999,265.6
27/09/1999,281.7
28/09/1999,288.25
29/09/1999,317.25
30/09/1999,303.75
01/10/1999,303
04/10/1999,311.75
05/10/1999,326.25
06/10/1999,325
07/10/1999,318
08/10/1999,322.75
11/10/1999,317.75
12/10/1999,323.5
13/10/1999,320.5
14/10/1999,322.65
15/10/1999,316
18/10/1999,317.65
19/10/1999,309
20/10/1999,309.75
21/10/1999,305.5
22/10/1999,303.25
25/10/1999,302.4
26/10/1999,297.95
27/10/1999,290.4
28/10/1999,300.9
29/10/1999,298.85
01/11/1999,293.85
02/11/1999,292.05
03/11/1999,291.75
04/11/1999,292.25
05/11/1999,292
08/11/1999,289
09/11/1999,291.25
10/11/1999,291.85
11/11/1999,296.25
12/11/1999,292.8
15/11/1999,292.7
16/11/1999,292
17/11/1999,295.45
18/11/1999,293.65
19/11/1999,293.7
22/11/1999,294.4
23/11/1999,296.7
24/11/1999,297.85
25/11/1999,298.5
26/11/1999,297.2
29/11/1999,293.1
30/11/1999,292
01/12/1999,291.4
02/12/1999,289.25
03/12/1999,280.85
06/12/1999,277.25
07/12/1999,280
08/12/1999,283.3
09/12/1999,279.6
10/12/1999,278.45
13/12/1999,279.75
14/12/1999,280.3
15/12/1999,279.85
16/12/1999,280.25
17/12/1999,283.05
20/12/1999,284.25
21/12/1999,284.6
22/12/1999,287
23/12/1999,286.4
24/12/1999,287.8
27/12/1999,NaN
28/12/1999,NaN
29/12/1999,290.65
30/12/1999,290.85
31/12/1999,NaN
03/01/2000,NaN
04/01/2000,282.05
05/01/2000,282.1
06/01/2000,280.35
07/01/2000,282
10/01/2000,281.7
11/01/2000,281.7
12/01/2000,282.25
13/01/2000,282.2
14/01/2000,284.15
17/01/2000,284.9
18/01/2000,286.85
19/01/2000,288.75
20/01/2000,288.35
21/01/2000,287.7
24/01/2000,287.45
25/01/2000,288.7
26/01/2000,284.9
27/01/2000,286.5
28/01/2000,286.15
